"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_30","c_60_cm2","c_100_cm2","c_30_cm2","c_60_m2","c_100_m2","c_30_m2"
"40","Sacrifice Shallow","NS-SCs-1-BA-1",0.01492786,"BA",14864.16694,"Atlantic",32.4144050264667,11.7964683944165,4.18589635656656,0.662204533635985,1.81960950056876,0.234978762454086,6622.04533635985,18196.0950056876,2349.78762454086
"41","Sacrifice Shallow","NS-SCs-2-BA-2",0.01492786,"BA",14864.16694,"Atlantic",23.0933002206199,15.8347166701569,8.79259903175124,0.888894948659583,1.29636155427243,0.49357983648945,8888.94948659583,12963.6155427243,4935.7983648945
"42","Sacrifice Shallow","NS-SCs-3-BA-3",0.01492786,"BA",14864.16694,"Atlantic",34.0388654360756,11.3833556556516,3.82404432974241,0.639014107538428,1.91079993248348,0.214665898920985,6390.14107538428,19107.9993248348,2146.65898920985
"43","Sacrifice Shallow","NS-SCs-4-BA-4",0.01492786,"BA",14864.16694,"Atlantic",37.4895198061618,16.836362349695,6.86379665595584,0.945123159333291,2.10450527644587,0.385304915976449,9451.23159333291,21045.0527644587,3853.04915976449
"44","Sacrifice Shallow","NS-SCs-5-SG-5",0.01492786,"SG",14864.16694,"Atlantic",24.6650893374777,14.1569992973545,6.84968493033796,0.794714892961265,1.38459523949941,0.384512742559021,7947.14892961265,13845.9523949941,3845.12742559021
"45","Sambro Deep","NS-SAd-1-SG-1",0.327026712,"SG",23533.52887,"Atlantic",11.6248773426975,3.99107226819261,1.36367663949038,0.224042150726818,0.652572127683587,0.0765511187663112,2240.42150726818,6525.72127683586,765.511187663112
"46","Sambro Deep","NS-SAd-2-SG-2",0.327026712,"SG",23533.52887,"Atlantic",7.49606558558586,5.38462813882722,3.11026899805219,0.302270564905935,0.420797856548082,0.174597528893689,3022.70564905935,4207.97856548082,1745.97528893689
"47","Sambro Deep","NS-SAd-3-SG-3",0.327026712,"SG",23533.52887,"Atlantic",8.84263460045296,3.91740586678117,1.58247766934858,0.219906826207626,0.496388624622431,0.0888336959828031,2199.06826207626,4963.88624622431,888.336959828031
"48","Sambro Deep","NS-SAd-4-BA-4",0.327026712,"BA",23533.52887,"Atlantic",9.03005407825571,5.34162136777996,2.64262499349281,0.299856344156782,0.506909572396209,0.148345944979516,2998.56344156782,5069.09572396209,1483.45944979516
"49","Sambro Deep","NS-SAd-5-BA-5",0.327026712,"BA",23533.52887,"Atlantic",5.60540241411336,3.5007100005897,1.8044121925509,0.196515258281248,0.314663911890519,0.10129217444611,1965.15258281248,3146.63911890519,1012.9217444611
"50","Sambro Shallow","NS-SAs-1-SG-1",0.184812561,"SG",23558.20146,"Atlantic",2.79237253321107,2.34940209434142,1.58485984322215,0.13188563442794,0.156752147275553,0.0889674212882287,1318.8563442794,1567.52147275553,889.674212882286
"51","Sambro Shallow","NS-SAs-2-SG-2",0.184812561,"SG",23558.20146,"Atlantic",4.78276845812838,2.62722658212483,1.23134419438653,0.14748154239073,0.268484672735011,0.0691225272451081,1474.8154239073,2684.84672735011,691.225272451081
"52","Sambro Shallow","NS-SAs-3-SG-3",0.184812561,"SG",23558.20146,"Atlantic",5.0947080876182,2.2586084437205,0.912818350942725,0.12678885757437,0.285995662461958,0.0512418149372999,1267.8885757437,2859.95662461958,512.418149372999
"53","Sambro Shallow","NS-SAs-4-BA-4",0.184812561,"BA",23558.20146,"Atlantic",3.31063104779848,3.01483330018449,2.25479587215154,0.169240166869253,0.185845018674053,0.126574835708388,1692.40166869253,1858.45018674053,1265.74835708388
"54","Sambro Shallow","NS-SAs-5-BA-5",0.184812561,"BA",23558.20146,"Atlantic",3.49897672503138,1.42882617726332,0.546741371520992,0.0802083420839232,0.196417959420743,0.0306917801872742,802.083420839232,1964.17959420743,306.917801872742
"55","Sandy Island Exposed","BC-SIE-1-SG-1",0.457362703,"SG",32635.46911,"Pacific",0.694092001576355,0.557694120998176,0.357914049686894,0.0313066218599737,0.0389634299721339,0.02009180192157,313.066218599737,389.634299721339,200.9180192157
"56","Sandy Island Exposed","BC-SIE-3-SG-3",0.457362703,"SG",32635.46911,"Pacific",0.991286053733687,0.892573768861586,0.656451214107367,0.0501053685376265,0.0556466644901347,0.0368504331600211,501.053685376265,556.466644901347,368.504331600211
"57","Sandy Island Exposed","BC-SIE-4-BA-4",0.457362703,"BA",32635.46911,"Pacific",0.537928369338333,0.423047256643406,0.265691435023077,0.0237481084952619,0.0301970550029925,0.0149148089867142,237.481084952619,301.970550029925,149.148089867142
"58","Sandy Island Exposed","BC-SIE-5-BA-5",0.457362703,"BA",32635.46911,"Pacific",0.498839652671246,0.393292078329365,0.247619013227578,0.0220777768909292,0.028002777484883,0.0139002986055881,220.777768909292,280.02777484883,139.002986055881
"59","Sooke","BC-SOO-1-SG-1",0.115469351,"SG",31277.59156,"Pacific",3.08724051742779,2.7882904552271,2.05977803890525,0.156522996443519,0.173304806041191,0.115627347952079,1565.22996443519,1733.04806041191,1156.27347952079
